flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,flight.codeshared
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,3,5A,25.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,2025-07-30T08:45:00+00:00,2025-07-30T08:45:00+00:00,2025-07-30T08:45:00+00:00,Findel,Europe/Luxembourg,LUX,ELLX,A,,T01,2025-07-30T10:40:00+00:00,,,,,,Qatar Airways,QR,QTR,5896,QR5896,QTR5896,british airways,ba,baw,416,ba416,baw416,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,3,5A,25.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,2025-07-30T08:45:00+00:00,2025-07-30T08:45:00+00:00,2025-07-30T08:45:00+00:00,Findel,Europe/Luxembourg,LUX,ELLX,A,,T01,2025-07-30T10:40:00+00:00,,,,,,British Airways,BA,BAW,416,BA416,BAW416,,,,,,,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,B43,12.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,,,,Schiphol,Europe/Amsterdam,AMS,EHAM,1,,4,2025-07-30T10:40:00+00:00,,,,,,American Airlines,AA,AAL,7163,AA7163,AAL7163,british airways,ba,baw,430,ba430,baw430,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,B43,12.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,,,,Schiphol,Europe/Amsterdam,AMS,EHAM,1,,4,2025-07-30T10:40:00+00:00,,,,,,JetBlue Airways,B6,JBU,6282,B66282,JBU6282,british airways,ba,baw,430,ba430,baw430,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,B43,12.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,,,,Schiphol,Europe/Amsterdam,AMS,EHAM,1,,4,2025-07-30T10:40:00+00:00,,,,,,Japan Airlines,JL,JTL,6517,JL6517,JTL6517,british airways,ba,baw,430,ba430,baw430,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,B43,12.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,,,,Schiphol,Europe/Amsterdam,AMS,EHAM,1,,4,2025-07-30T10:40:00+00:00,,,,,,Malaysia Airlines,MH,MAS,9690,MH9690,MAS9690,british airways,ba,baw,430,ba430,baw430,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,B43,12.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,,,,Schiphol,Europe/Amsterdam,AMS,EHAM,1,,4,2025-07-30T10:40:00+00:00,,,,,,Qatar Airways,QR,QTR,8305,QR8305,QTR8305,british airways,ba,baw,430,ba430,baw430,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,B43,12.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,,,,Schiphol,Europe/Amsterdam,AMS,EHAM,1,,4,2025-07-30T10:40:00+00:00,,,,,,British Airways,BA,BAW,430,BA430,BAW430,,,,,,,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,3,17,11.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,2025-07-30T08:30:00+00:00,2025-07-30T08:30:00+00:00,2025-07-30T08:30:00+00:00,Orlando International,America/New_York,MCO,KMCO,A,81,8A,2025-07-30T13:05:00+00:00,,,,,,Air France,AF,AFR,6750,AF6750,AFR6750,virgin atlantic,vs,vir,91,vs91,vir91,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,3,17,11.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,2025-07-30T08:30:00+00:00,2025-07-30T08:30:00+00:00,2025-07-30T08:30:00+00:00,Orlando International,America/New_York,MCO,KMCO,A,81,8A,2025-07-30T13:05:00+00:00,,,,,,Aeromexico,AM,AMX,7679,AM7679,AMX7679,virgin atlantic,vs,vir,91,vs91,vir91,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,3,17,11.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,2025-07-30T08:30:00+00:00,2025-07-30T08:30:00+00:00,2025-07-30T08:30:00+00:00,Orlando International,America/New_York,MCO,KMCO,A,81,8A,2025-07-30T13:05:00+00:00,,,,,,Delta Air Lines,DL,DAL,5971,DL5971,DAL5971,virgin atlantic,vs,vir,91,vs91,vir91,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,3,17,11.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,2025-07-30T08:30:00+00:00,2025-07-30T08:30:00+00:00,2025-07-30T08:30:00+00:00,Orlando International,America/New_York,MCO,KMCO,A,81,8A,2025-07-30T13:05:00+00:00,,,,,,KLM,KL,KLM,4800,KL4800,KLM4800,virgin atlantic,vs,vir,91,vs91,vir91,
