icao24,callsign,country_icao,time_at_position,longitude,latitude,altitude,on_ground,speed_kmh,true_track,vertical_rate,sensors,geo_altitude,spi,located_at
45211b,CFG7YT  ,Bulgaria,12:18:04,11.376,48.2242,1584.96,False,125.39,265.53,-8.78,,1775.46,False,Munich Airport
471db7,WZZ2298 ,Hungary,12:18:04,15.5318,50.3211,10980.42,False,198.99,319.93,-0.98,,11277.6,False,Václav Havel Airport Prague
471db5,WZZ66   ,Hungary,12:18:03,12.194,50.1169,10965.18,False,197.94,291.5,0.0,,11292.84,False,Nuremberg Airport
471db8,WZZ152  ,Hungary,12:18:03,19.2565,47.4354,,True,10.29,222.19,,,,False,Budapest Liszt Ferenc International Airport
452124,LZB438  ,Bulgaria,12:18:04,14.4079,46.8863,11887.2,False,256.99,122.99,0.0,,12367.26,False,Ljubljana Jože Pučnik Airport
4bb2b0,THY4YZ  ,Turkey,12:16:08,17.3337,46.6258,10668.0,False,251.02,121.51,-0.33,,11140.44,False,Zagreb Franjo Tuđman International Airport
4bb2a1,TKJ1JH  ,Turkey,12:08:51,15.6281,53.7116,10668.0,False,245.45,145.24,0.0,,10713.72,False,Gdańsk Lech Wałęsa Airport
4bb2a5,TKJ9KN  ,Turkey,12:18:05,18.3517,48.0739,10668.0,False,254.67,135.98,0.98,,11056.62,False,M. R. Štefánik Airport
3d350d,PTO5N   ,Germany,12:17:50,12.5966,54.2645,556.26,False,59.7,42.9,-0.65,,655.32,False,Copenhagen Kastrup Airport
4b1fa1,HBLZL   ,Switzerland,12:18:04,8.9159,46.1461,838.2,False,62.97,94.69,-1.95,,982.98,False,Milan Malpensa International Airport
48d090,SPWER   ,Poland,12:18:04,16.7538,52.5244,335.28,False,45.87,336.89,1.3,,480.06,False,Berlin Brandenburg Airport
345617,HAT6123 ,Spain,12:18:04,17.3639,48.0722,784.86,False,72.41,313.56,-2.93,,937.26,False,M. R. Štefánik Airport
4bb321,THY8KA  ,Turkey,12:17:53,12.2218,51.4188,,True,0.0,14.06,,,,False,Leipzig/Halle Airport
4079f6,BAW587  ,United Kingdom,12:18:04,7.7365,47.3607,10972.8,False,206.61,288.89,0.0,,11437.62,False,EuroAirport Basel-Mulhouse-Freiburg
3451d4,VLG4DX  ,Spain,12:18:04,7.7503,47.7881,11285.22,False,219.75,202.72,0.0,,11750.04,False,EuroAirport Basel-Mulhouse-Freiburg
4bb27a,THY7AR  ,Turkey,12:18:04,18.1789,47.4546,10363.2,False,196.11,306.36,0.0,,10782.3,False,Budapest Liszt Ferenc International Airport
44cdcb,BEL1RM  ,Belgium,12:18:04,11.8305,45.318,10965.18,False,218.97,341.22,0.0,,11490.96,False,Venice Marco Polo Airport
4bb275,THY2FW  ,Turkey,12:18:05,18.8039,47.9965,10066.02,False,261.96,126.37,0.33,,10462.26,False,Budapest Liszt Ferenc International Airport
a1e06c,N22UB   ,United States,12:18:04,6.2336,47.9404,13106.4,False,206.85,297.39,0.0,,13609.32,False,EuroAirport Basel-Mulhouse-Freiburg
44cdc9,BEL7RT  ,Belgium,12:18:04,16.3237,45.5404,10660.38,False,269.91,135.0,0.0,,11163.3,False,Zagreb Franjo Tuđman International Airport
a70378,N551DL  ,United States,12:18:04,16.4938,45.6622,6096.0,False,128.27,209.03,0.0,,6461.76,False,Zagreb Franjo Tuđman International Airport
ac142e,AAL299  ,United States,12:18:04,5.3781,47.1371,10355.58,False,240.16,309.35,-0.33,,10812.78,False,Geneva Cointrin International Airport
3c1459,KLM1285 ,Germany,12:18:05,7.7326,54.3521,9448.8,False,235.84,23.94,0.33,,9646.92,False,Hamburg Helmut Schmidt Airport
3dddb1,DHEEZ   ,Germany,12:18:01,10.6263,48.6679,891.54,False,67.04,3.96,-2.28,,1051.56,False,Munich Airport
3ddde0,BPO911  ,Germany,12:18:04,6.9587,50.6992,381.0,False,26.36,107.02,-0.65,,541.02,False,Cologne Bonn Airport
3d3460,DESBW   ,Germany,12:18:05,8.0903,50.1096,975.36,False,61.36,34.76,-0.33,,,False,Frankfurt Airport
3dddd6,BPO217  ,Germany,12:18:04,11.3188,48.2333,922.02,False,55.32,30.14,0.33,,1089.66,False,Munich Airport
3eb727,GNY4373 ,Germany,12:18:05,10.0665,53.577,1455.42,False,54.99,227.65,0.33,,1562.1,False,Hamburg Helmut Schmidt Airport
4bb0f2,THY9WC  ,Turkey,12:18:04,17.087,50.7461,11887.2,False,263.92,149.94,0.0,,12169.14,False,Kraków John Paul II International Airport
44ce76,BEL2PN  ,Belgium,12:18:04,7.4824,50.1677,10668.0,False,228.91,107.66,0.0,,11026.14,False,Frankfurt Airport
896326,ETD1QN  ,United Arab Emirates,12:18:04,16.5857,48.0921,,True,10.29,165.94,,,,False,Vienna International Airport
3c6dd4,EWG60V  ,Germany,12:17:04,10.0006,53.6288,,True,1.29,219.38,,,,False,Hamburg Helmut Schmidt Airport
44ce72,BEL5MQ  ,Belgium,12:18:04,5.9007,52.3444,9829.8,False,227.37,225.64,-7.48,,10157.46,False,Amsterdam Airport Schiphol
39a580,TLJ253Y ,France,12:18:04,5.452,48.1741,9448.8,False,258.85,110.6,0.0,,9867.9,False,EuroAirport Basel-Mulhouse-Freiburg
